State,Year,Quarter,district,registeredUsers
arunachal-pradesh,2019,2,lower subansiri ,2463
arunachal-pradesh,2019,2,tirap ,2697
arunachal-pradesh,2019,2,papum pare ,32800
arunachal-pradesh,2019,2,anjaw ,1175
arunachal-pradesh,2019,2,lower siang ,1457
arunachal-pradesh,2019,2,dibang valley ,241
arunachal-pradesh,2019,2,west kameng ,9782
arunachal-pradesh,2019,2,shi yomi ,225
arunachal-pradesh,2019,2,east kameng ,1075
arunachal-pradesh,2019,2,lohit ,5485
arunachal-pradesh,2019,2,lepa rada ,903
arunachal-pradesh,2019,2,lower dibang valley ,2842
arunachal-pradesh,2019,2,longding ,1420
arunachal-pradesh,2019,2,west siang ,3393
arunachal-pradesh,2019,2,kamle ,212
arunachal-pradesh,2019,2,upper siang ,1372
arunachal-pradesh,2019,2,kurung kumey ,481
arunachal-pradesh,2019,2,siang ,831
arunachal-pradesh,2019,2,kra daadi ,440
arunachal-pradesh,2019,2,changlang ,6884
arunachal-pradesh,2019,2,pakke kessang ,211
arunachal-pradesh,2019,2,east siang ,7319
arunachal-pradesh,2019,2,upper subansiri ,2355
arunachal-pradesh,2019,2,tawang ,5908
arunachal-pradesh,2019,2,namsai ,3914
arunachal-pradesh,2019,3,lower subansiri ,2928
arunachal-pradesh,2019,3,tirap ,3099
arunachal-pradesh,2019,3,papum pare ,38845
arunachal-pradesh,2019,3,anjaw ,1358
arunachal-pradesh,2019,3,lower siang ,1689
arunachal-pradesh,2019,3,dibang valley ,271
arunachal-pradesh,2019,3,west kameng ,11186
arunachal-pradesh,2019,3,shi yomi ,239
arunachal-pradesh,2019,3,east kameng ,1304
arunachal-pradesh,2019,3,lohit ,6421
arunachal-pradesh,2019,3,lepa rada ,1064
arunachal-pradesh,2019,3,lower dibang valley ,3398
arunachal-pradesh,2019,3,longding ,1634
arunachal-pradesh,2019,3,west siang ,4101
arunachal-pradesh,2019,3,kamle ,258
arunachal-pradesh,2019,3,upper siang ,1486
arunachal-pradesh,2019,3,kurung kumey ,572
arunachal-pradesh,2019,3,siang ,948
arunachal-pradesh,2019,3,kra daadi ,524
arunachal-pradesh,2019,3,changlang ,8145
arunachal-pradesh,2019,3,pakke kessang ,244
arunachal-pradesh,2019,3,east siang ,8571
arunachal-pradesh,2019,3,upper subansiri ,2748
arunachal-pradesh,2019,3,tawang ,6553
arunachal-pradesh,2019,3,namsai ,4563
arunachal-pradesh,2019,4,lower subansiri ,3564
arunachal-pradesh,2019,4,tirap ,3605
arunachal-pradesh,2019,4,papum pare ,44746
arunachal-pradesh,2019,4,anjaw ,1564
arunachal-pradesh,2019,4,lower siang ,1921
arunachal-pradesh,2019,4,dibang valley ,289
arunachal-pradesh,2019,4,west kameng ,12562
arunachal-pradesh,2019,4,shi yomi ,266
arunachal-pradesh,2019,4,east kameng ,1623
arunachal-pradesh,2019,4,lohit ,7386
arunachal-pradesh,2019,4,lepa rada ,1263
arunachal-pradesh,2019,4,lower dibang valley ,3944
arunachal-pradesh,2019,4,longding ,1847
arunachal-pradesh,2019,4,west siang ,4773
arunachal-pradesh,2019,4,kamle ,323
